t	590295
I	576246
co	465170
http	462106
RT	422850
to	342285
the	310294
a	289331
food	285090
and	272246
of	222932
you	215063
eat	206304
for	186519
in	147963
s	145159
my	141051
is	134505
it	123678
me	113169
m	102177
with	99848
on	91608
at	90838
ve	85504
drink	81794
hungry	79416
that	79253
amp	75077
lunch	73710
gameinsight	72763
harvested	71198
dinner	69872
i	68615
so	67721
this	67335
can	66000
your	65600
like	63880
have	63549
be	62159
just	57513
but	53668
all	52293
The	51411
out	49692
want	49510
get	48881
breakfast	48855
not	45384
